# MICEK --- model skákajícího míèku
# Time y v 
0.000       1          0       
0.010       1         -0.0981  
0.020       0.998     -0.196   
0.030       0.996     -0.294   
0.040       0.992     -0.392   
0.050       0.988     -0.491   
0.060       0.982     -0.589   
0.070       0.976     -0.687   
0.080       0.969     -0.785   
0.090       0.96      -0.883   
0.100       0.951     -0.981   
0.110       0.941     -1.08    
0.120       0.929     -1.18    
0.130       0.917     -1.28    
0.140       0.904     -1.37    
0.150       0.89      -1.47    
0.160       0.874     -1.57    
0.170       0.858     -1.67    
0.180       0.841     -1.77    
0.190       0.823     -1.86    
0.200       0.804     -1.96    
0.210       0.784     -2.06    
0.220       0.763     -2.16    
0.230       0.741     -2.26    
0.240       0.717     -2.35    
0.250       0.693     -2.45    
0.260       0.668     -2.55    
0.270       0.642     -2.65    
0.280       0.615     -2.75    
0.290       0.587     -2.84    
0.300       0.559     -2.94    
0.310       0.529     -3.04    
0.320       0.498     -3.14    
0.330       0.466     -3.24    
0.340       0.433     -3.34    
0.350       0.399     -3.43    
0.360       0.364     -3.53    
0.370       0.329     -3.63    
0.380       0.292     -3.73    
0.390       0.254     -3.83    
0.400       0.215     -3.92    
0.410       0.175     -4.02    
0.420       0.135     -4.12    
0.430       0.0931    -4.22    
0.440       0.0504    -4.32    
0.450       0.00674   -4.41    
# Odraz 1:
0.452      -1.24e-10  -4.43    
0.460       0.0297     3.46    
0.470       0.0638     3.36    
0.480       0.0969     3.26    
0.490       0.129      3.17    
0.500       0.16       3.07    
0.510       0.19       2.97    
0.520       0.22       2.87    
0.530       0.248      2.77    
0.540       0.275      2.68    
0.550       0.301      2.58    
0.560       0.327      2.48    
0.570       0.351      2.38    
0.580       0.374      2.28    
0.590       0.397      2.19    
0.600       0.418      2.09    
0.610       0.438      1.99    
0.620       0.458      1.89    
0.630       0.476      1.79    
0.640       0.494      1.69    
0.650       0.51       1.6     
0.660       0.526      1.5     
0.670       0.54       1.4     
0.680       0.554      1.3     
0.690       0.566      1.2     
0.700       0.578      1.11    
0.710       0.588      1.01    
0.720       0.598      0.91    
0.730       0.606      0.812   
0.740       0.614      0.714   
0.750       0.621      0.616   
0.760       0.626      0.517   
0.770       0.631      0.419   
0.780       0.635      0.321   
0.790       0.637      0.223   
0.800       0.639      0.125   
0.810       0.64       0.0269  
0.820       0.64      -0.0712  
0.830       0.639     -0.169   
0.840       0.636     -0.267   
0.850       0.633     -0.365   
0.860       0.629     -0.464   
0.870       0.624     -0.562   
0.880       0.618     -0.66    
0.890       0.611     -0.758   
0.900       0.603     -0.856   
0.910       0.594     -0.954   
0.920       0.584     -1.05    
0.930       0.573     -1.15    
0.940       0.561     -1.25    
0.950       0.548     -1.35    
0.960       0.534     -1.44    
0.970       0.519     -1.54    
0.980       0.503     -1.64    
0.990       0.486     -1.74    
1.000       0.468     -1.84    
1.010       0.449     -1.94    
1.020       0.429     -2.03    
1.030       0.408     -2.13    
1.040       0.387     -2.23    
1.050       0.364     -2.33    
