# CTEST -- model odezvy pøenosového filtru na jednotkový skok 
# Time  y
  0.00  0 
  0.05  1.997e-05 
  0.10  0.0001527 
  0.15  0.0004911 
  0.20  0.001106 
  0.25  0.002045 
  0.30  0.003337 
  0.35  0.004988 
  0.40  0.00699 
  0.45  0.009316 
  0.50  0.01193 
  0.55  0.01478 
  0.60  0.01781 
  0.65  0.02096 
  0.70  0.02417 
  0.75  0.02738 
  0.80  0.03053 
  0.85  0.03357 
  0.90  0.03644 
  0.95  0.03912 
  1.00  0.04156 
  1.05  0.04374 
  1.10  0.04564 
  1.15  0.04727 
  1.20  0.04862 
  1.25  0.0497 
  1.30  0.05053 
  1.35  0.05113 
  1.40  0.05151 
  1.45  0.05172 
  1.50  0.05178 
  1.55  0.05172 
  1.60  0.05157 
  1.65  0.05137 
  1.70  0.05113 
  1.75  0.05089 
  1.80  0.05067 
  1.85  0.05048 
  1.90  0.05035 
  1.95  0.05028 
  2.00  0.05027 
  2.05  0.05034 
  2.10  0.05048 
  2.15  0.0507 
  2.20  0.05097 
  2.25  0.05131 
  2.30  0.05169 
  2.35  0.05211 
  2.40  0.05256 
  2.45  0.05302 
  2.50  0.05348 
  2.55  0.05394 
  2.60  0.05439 
  2.65  0.05481 
  2.70  0.0552 
  2.75  0.05555 
  2.80  0.05586 
  2.85  0.05612 
  2.90  0.05634 
  2.95  0.05652 
  3.00  0.05665 
  3.05  0.05674 
  3.10  0.0568 
  3.15  0.05682 
  3.20  0.05681 
  3.25  0.05678 
  3.30  0.05673 
  3.35  0.05667 
  3.40  0.0566 
  3.45  0.05653 
  3.50  0.05646 
  3.55  0.0564 
  3.60  0.05634 
  3.65  0.0563 
  3.70  0.05627 
  3.75  0.05625 
  3.80  0.05624 
  3.85  0.05625 
  3.90  0.05628 
  3.95  0.05631 
  4.00  0.05636 
  4.05  0.05641 
  4.10  0.05647 
  4.15  0.05654 
  4.20  0.05661 
  4.25  0.05668 
  4.30  0.05675 
  4.35  0.05682 
  4.40  0.05688 
  4.45  0.05694 
  4.50  0.05699 
  4.55  0.05704 
  4.60  0.05708 
  4.65  0.05711 
  4.70  0.05713 
  4.75  0.05715 
  4.80  0.05716 
  4.85  0.05716 
  4.90  0.05716 
  4.95  0.05715 
  5.00  0.05714 
  5.05  0.05713 
  5.10  0.05712 
  5.15  0.0571 
  5.20  0.05708 
  5.25  0.05707 
  5.30  0.05706 
  5.35  0.05704 
  5.40  0.05703 
  5.45  0.05703 
  5.50  0.05702 
  5.55  0.05702 
  5.60  0.05702 
  5.65  0.05702 
  5.70  0.05703 
  5.75  0.05703 
  5.80  0.05704 
  5.85  0.05705 
  5.90  0.05706 
  5.95  0.05707 
  6.00  0.05708 
  6.05  0.05709 
  6.10  0.0571 
  6.15  0.05711 
  6.20  0.05712 
  6.25  0.05713 
  6.30  0.05714 
  6.35  0.05714 
  6.40  0.05715 
  6.45  0.05715 
  6.50  0.05715 
  6.55  0.05715 
  6.60  0.05715 
  6.65  0.05715 
  6.70  0.05715 
  6.75  0.05715 
  6.80  0.05715 
  6.85  0.05714 
  6.90  0.05714 
  6.95  0.05714 
  7.00  0.05713 
# konec 
#
# SIMLIB run-time statistics:
#    StartTime  = 0
#    EndTime    = 7
#    EventCount = 141
#    StepCount  = 142
#    MinStep    = 1e-10
#    MaxStep    = 0.05
#
