# BALL2 - bouncing ball model output
# Time    y     v 
0.000000        10    0.0000
0.050000     9.988   -0.4893
0.100000     9.951   -0.9761
0.150000      9.89   -1.4605
0.200000     9.805   -1.9425
0.250000     9.696   -2.4221
0.300000     9.563   -2.8993
0.350000     9.406   -3.3741
0.400000     9.226   -3.8466
0.450000     9.021   -4.3166
0.500000     8.794   -4.7844
0.550000     8.543   -5.2498
0.600000     8.269   -5.7129
0.650000     7.972   -6.1737
0.700000     7.652   -6.6322
0.750000     7.309   -7.0884
0.800000     6.943   -7.5423
0.850000     6.554   -7.9939
0.900000     6.144   -8.4434
0.950000      5.71   -8.8905
1.000000     5.254   -9.3354
1.050000     4.777   -9.7782
1.100000     4.277  -10.2187
1.150000     3.755  -10.6570
1.200000     3.211  -11.0931
1.250000     2.646  -11.5271
1.300000     2.058  -11.9588
1.350000      1.45  -12.3885
1.400000    0.8196  -12.8160
1.450000    0.1681  -13.2413
1.462646 -5.59e-10  -13.3486

# Odraz 1
1.462646         0   12.0137
1.500000    0.4411   11.6032
1.550000     1.008   11.0560
1.600000     1.547   10.5116
1.650000     2.059    9.9699
1.700000     2.544    9.4309
1.750000     3.002    8.8946
1.800000     3.433    8.3609
1.850000     3.838    7.8300
1.900000     4.216    7.3016
1.950000     4.568    6.7759
2.000000     4.894    6.2529
2.050000     5.194    5.7324
2.100000     5.467    5.2145
2.150000     5.715    4.6993
2.200000     5.937    4.1865
2.250000     6.134    3.6764
2.300000     6.305    3.1688
2.350000     6.451    2.6637
2.400000     6.571    2.1611
2.450000     6.667    1.6611
2.500000     6.737    1.1635
2.550000     6.783    0.6684
2.600000     6.804    0.1758
2.650000     6.801   -0.3143
2.700000     6.773   -0.8020
2.750000     6.721   -1.2873
2.800000     6.644   -1.7702
2.850000     6.544   -2.2506
2.900000     6.419   -2.7287
2.950000     6.271   -3.2043
3.000000     6.099   -3.6776
3.050000     5.903   -4.1486
3.100000     5.684   -4.6171
3.150000     5.441   -5.0834
3.200000     5.176   -5.5473
3.250000     4.887   -6.0089
3.300000     4.575   -6.4682
3.350000      4.24   -6.9252
3.400000     3.882   -7.3800
3.450000     3.502   -7.8324
3.500000     3.099   -8.2827
3.550000     2.674   -8.7306
3.600000     2.226   -9.1764
3.650000     1.756   -9.6199
3.700000     1.264  -10.0612
3.750000    0.7501  -10.5003
3.800000    0.2142  -10.9372
3.819435 -2.29e-10  -11.1064

# Odraz 2
3.819435         0    9.9958
3.850000    0.3005    9.6659
3.900000    0.7703    9.1284
3.950000     1.213    8.5936
4.000000      1.63    8.0614
4.050000      2.02    7.5319
4.100000     2.383    7.0051
4.150000      2.72    6.4809
4.200000     3.031    5.9593
4.250000     3.316    5.4403
4.300000     3.575    4.9239
4.350000     3.809    4.4101
4.400000     4.016    3.8988
4.450000     4.198    3.3901
4.500000     4.355    2.8839
4.550000     4.487    2.3802
4.600000     4.593    1.8791
4.650000     4.675    1.3804
4.700000     4.731    0.8843
4.750000     4.763    0.3906
4.800000     4.771   -0.1006
4.850000     4.753   -0.5894
4.900000     4.712   -1.0758
4.950000     4.646   -1.5597
5.000000     4.556   -2.0412
5.050000     4.442   -2.5203
5.100000     4.304   -2.9970
5.150000     4.142   -3.4713
5.200000     3.957   -3.9433
5.250000     3.748   -4.4129
5.300000     3.515   -4.8801
5.350000      3.26   -5.3451
5.400000     2.981   -5.8077
5.450000     2.679   -6.2680
5.500000     2.354   -6.7260
5.550000     2.006   -7.1817
5.600000     1.636   -7.6352
5.650000     1.243   -8.0864
5.700000    0.8274   -8.5353
5.750000    0.3895   -8.9820
5.792465 -3.003e-10   -9.3597

# Odraz 3
5.792465         0    8.4237
5.800000   0.06317    8.3435
5.850000    0.4671    7.8126
5.900000    0.8445    7.2844
5.950000     1.196    6.7587
6.000000      1.52    6.2358
6.050000     1.819    5.7154
6.100000     2.092    5.1976
6.150000     2.339    4.6824
6.200000      2.56    4.1698
6.250000     2.756    3.6597
6.300000     2.926    3.1522
6.350000     3.071    2.6472
6.400000     3.191    2.1447
6.450000     3.286    1.6447
6.500000     3.356    1.1472
6.550000     3.401    0.6522
6.600000     3.421    0.1597
6.650000     3.417   -0.3304
6.700000     3.388   -0.8180
6.750000     3.335   -1.3032
6.800000     3.258   -1.7860
6.850000     3.156   -2.2663
6.900000     3.031   -2.7443
6.950000     2.882   -3.2199
7.000000     2.709   -3.6931
7.050000     2.513   -4.1640
7.100000     2.293   -4.6325
7.150000     2.049   -5.0986
7.200000     1.783   -5.5625
7.250000     1.493   -6.0240
7.300000      1.18   -6.4832
7.350000    0.8449   -6.9402
7.400000    0.4865   -7.3948
7.450000    0.1054   -7.8472
7.463330 -1.473e-10   -7.9675

# Odraz 4
7.463330         0    7.1707
7.500000    0.2559    6.7854
7.550000    0.5821    6.2623
7.600000    0.8822    5.7418
7.650000     1.156    5.2239
7.700000     1.405    4.7085
7.750000     1.627    4.1958
7.800000     1.824    3.6856
7.850000     1.996    3.1779
7.900000     2.142    2.6728
7.950000     2.263    2.1702
8.000000     2.359    1.6701
8.050000      2.43    1.1725
8.100000     2.476    0.6774
8.150000     2.498    0.1847
8.200000     2.495   -0.3055
8.250000     2.467   -0.7933
8.300000     2.416   -1.2786
8.350000      2.34   -1.7615
8.400000      2.24   -2.2420
8.450000     2.115   -2.7201
8.500000     1.968   -3.1958
8.550000     1.796   -3.6691
8.600000     1.601   -4.1401
8.650000     1.382   -4.6087
8.700000      1.14   -5.0750
8.750000    0.8745   -5.5390
8.800000     0.586   -6.0006
8.850000    0.2745   -6.4600
8.891279 -1.234e-10   -6.8375

# Odraz 5
8.891279         0    6.1537
8.900000   0.05327    6.0628
8.950000    0.3434    5.5433
9.000000    0.6076    5.0264
9.050000    0.8461    4.5120
9.100000     1.059    4.0003
9.150000     1.246    3.4910
9.200000     1.408    2.9843
9.250000     1.545    2.4802
9.300000     1.656    1.9785
9.350000     1.743    1.4794
9.400000     1.804    0.9827
9.450000     1.841    0.4886
9.500000     1.853   -0.0031
9.550000     1.841   -0.4924
9.600000     1.804   -0.9792
9.650000     1.743   -1.4636
9.700000     1.657   -1.9456
9.750000     1.548   -2.4252
9.800000     1.415   -2.9023
9.850000     1.258   -3.3771
9.900000     1.077   -3.8496
9.950000    0.8731   -4.3197
10.000000    0.6454   -4.7874
10.050000    0.3944   -5.2528
10.100000    0.1201   -5.7159
10.120673 -2.743e-10   -5.9067

# Odraz 6
10.120673         0    5.3160
10.150000    0.1515    5.0131
10.200000    0.3892    4.4989
10.250000    0.6014    3.9872
10.300000     0.788    3.4780
10.350000    0.9492    2.9714
10.400000     1.085    2.4673
10.450000     1.196    1.9657
10.500000     1.282    1.4666
10.550000     1.343    0.9700
10.600000     1.379    0.4759
10.650000      1.39   -0.0157
10.700000     1.377   -0.5049
10.750000      1.34   -0.9917
10.800000     1.278   -1.4760
10.850000     1.192   -1.9579
10.900000     1.082   -2.4374
10.950000    0.9486   -2.9146
11.000000     0.791   -3.3893
11.050000    0.6097   -3.8617
11.100000    0.4049   -4.3317
11.150000    0.1766   -4.7994
11.185567 -2.344e-10   -5.1306

# Odraz 7
11.185567         0    4.6176
11.200000   0.06558    4.4694
11.250000    0.2762    3.9578
11.300000    0.4614    3.4488
11.350000    0.6212    2.9423
11.400000    0.7557    2.4384
11.450000    0.8651    1.9370
11.500000    0.9494    1.4380
11.550000     1.009    0.9416
11.600000     1.044    0.4476
11.650000     1.054   -0.0439
11.700000     1.039   -0.5330
11.750000         1   -1.0196
11.800000    0.9373   -1.5038
11.850000    0.8501   -1.9855
